"filename", "language", "JSON", "JavaScript", "CMake", "Markdown", "Ini", "C++", "Batch", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\DBClient\CMakeLists.txt", "CMake", 0, 0, 66, 0, 0, 0, 0, 0, 12, 78
"e:\qt_project\SyncCanvas\DBClient\README.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 8, 45
"e:\qt_project\SyncCanvas\DBClient\config.ini", "Ini", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\qt_project\SyncCanvas\DBClient\global.cpp", "C++", 0, 0, 0, 0, 0, 21, 0, 7, 13, 41
"e:\qt_project\SyncCanvas\DBClient\global.h", "C++", 0, 0, 0, 0, 0, 37, 0, 9, 10, 56
"e:\qt_project\SyncCanvas\DBClient\hoverwidget.cpp", "C++", 0, 0, 0, 0, 0, 67, 0, 9, 17, 93
"e:\qt_project\SyncCanvas\DBClient\hoverwidget.h", "C++", 0, 0, 0, 0, 0, 24, 0, 9, 11, 44
"e:\qt_project\SyncCanvas\DBClient\httpmgr.cpp", "C++", 0, 0, 0, 0, 0, 44, 0, 9, 11, 64
"e:\qt_project\SyncCanvas\DBClient\httpmgr.h", "C++", 0, 0, 0, 0, 0, 31, 0, 9, 10, 50
"e:\qt_project\SyncCanvas\DBClient\loginwidget.cpp", "C++", 0, 0, 0, 0, 0, 20, 0, 2, 6, 28
"e:\qt_project\SyncCanvas\DBClient\loginwidget.h", "C++", 0, 0, 0, 0, 0, 21, 0, 9, 10, 40
"e:\qt_project\SyncCanvas\DBClient\main.cpp", "C++", 0, 0, 0, 0, 0, 24, 0, 2, 7, 33
"e:\qt_project\SyncCanvas\DBClient\mainwindow.cpp", "C++", 0, 0, 0, 0, 0, 128, 0, 36, 34, 198
"e:\qt_project\SyncCanvas\DBClient\mainwindow.h", "C++", 0, 0, 0, 0, 0, 38, 0, 9, 13, 60
"e:\qt_project\SyncCanvas\DBClient\registerwidget.cpp", "C++", 0, 0, 0, 0, 0, 199, 0, 54, 41, 294
"e:\qt_project\SyncCanvas\DBClient\registerwidget.h", "C++", 0, 0, 0, 0, 0, 31, 0, 10, 11, 52
"e:\qt_project\SyncCanvas\DBClient\singleton.h", "C++", 0, 0, 0, 0, 0, 33, 0, 9, 5, 47
"e:\qt_project\SyncCanvas\DBClient\tipwidget.cpp", "C++", 0, 0, 0, 0, 0, 47, 0, 22, 17, 86
"e:\qt_project\SyncCanvas\DBClient\tipwidget.h", "C++", 0, 0, 0, 0, 0, 14, 0, 16, 7, 37
"e:\qt_project\SyncCanvas\DBClient\userdata.cpp", "C++", 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"e:\qt_project\SyncCanvas\DBClient\userdata.h", "C++", 0, 0, 0, 0, 0, 17, 0, 10, 3, 30
"e:\qt_project\SyncCanvas\DBClient\usermgr.cpp", "C++", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"e:\qt_project\SyncCanvas\DBClient\usermgr.h", "C++", 0, 0, 0, 0, 0, 14, 0, 9, 5, 28
"e:\qt_project\SyncCanvas\DBClient\welcomewidget.cpp", "C++", 0, 0, 0, 0, 0, 13, 0, 1, 3, 17
"e:\qt_project\SyncCanvas\DBClient\welcomewidget.h", "C++", 0, 0, 0, 0, 0, 18, 0, 0, 8, 26
"e:\qt_project\SyncCanvas\GateServer\CMakeLists.txt", "CMake", 0, 0, 106, 0, 0, 0, 0, 0, 16, 122
"e:\qt_project\SyncCanvas\GateServer\CMakePresets.json", "JSON", 101, 0, 0, 0, 0, 0, 0, 0, 1, 102
"e:\qt_project\SyncCanvas\GateServer\README.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
