Date : 2026-02-03 00:33:55
Directory : e:\qt_project\SyncCanvas
Total : 116 files,  35713 codes, 3262 comments, 3644 blanks, all 42619 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        104 |     35,106 |      3,235 |      3,573 |     41,914 |
| CMake    |          4 |        259 |          0 |         47 |        306 |
| JSON     |          2 |        206 |          0 |          2 |        208 |
| Ini      |          3 |         72 |          0 |          0 |         72 |
| Batch    |          3 |         70 |         27 |         22 |        119 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |        116 |     35,713 |      3,262 |      3,644 |     42,619 |
| CanvasServer                                                                    |         31 |     10,171 |        935 |      1,040 |     12,146 |
| CanvasServer (Files)                                                            |          4 |        281 |          9 |         31 |        321 |
| CanvasServer2                                                                   |         31 |     10,171 |        935 |      1,039 |     12,145 |
| CanvasServer2 (Files)                                                           |          4 |        281 |          9 |         30 |        320 |
| CanvasServer2\include                                                           |         15 |      5,109 |        447 |        475 |      6,031 |
| CanvasServer2\include\CanvasServer                                              |         15 |      5,109 |        447 |        475 |      6,031 |
| CanvasServer2\src                                                               |         12 |      4,781 |        479 |        534 |      5,794 |
| CanvasServer\include                                                            |         15 |      5,109 |        447 |        475 |      6,031 |
| CanvasServer\include\CanvasServer                                               |         15 |      5,109 |        447 |        475 |      6,031 |
| CanvasServer\src                                                                |         12 |      4,781 |        479 |        534 |      5,794 |
| DBClient                                                                        |         31 |      9,701 |        924 |      1,075 |     11,700 |
| GateServer                                                                      |          9 |      2,786 |        231 |        235 |      3,252 |
| GateServer (Files)                                                              |          1 |         12 |          9 |          4 |         25 |
| GateServer\include                                                              |          3 |      1,483 |        113 |        106 |      1,702 |
| GateServer\include\GateServer                                                   |          3 |      1,483 |        113 |        106 |      1,702 |
| GateServer\src                                                                  |          5 |      1,291 |        109 |        125 |      1,525 |
| LogicServer                                                                     |         14 |      2,884 |        237 |        255 |      3,376 |
| LogicServer (Files)                                                             |          2 |         14 |          0 |          0 |         14 |
| LogicServer\include                                                             |          7 |      1,500 |        120 |        115 |      1,735 |
| LogicServer\include\LogicServer                                                 |          7 |      1,500 |        120 |        115 |      1,735 |
| LogicServer\src                                                                 |          5 |      1,370 |        117 |        140 |      1,627 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                        | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\qt_project\SyncCanvas\CanvasServer2\CMakeLists.txt                           | CMake    |        119 |          0 |         20 |        139 |
| e:\qt_project\SyncCanvas\CanvasServer2\CMakePresets.json                        | JSON     |        103 |          0 |          1 |        104 |
| e:\qt_project\SyncCanvas\CanvasServer2\config.ini                               | Ini      |         30 |          0 |          0 |         30 |
| e:\qt_project\SyncCanvas\CanvasServer2\gen_message.bat                          | Batch    |         29 |          9 |          9 |         47 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\AsioIOServicePool.h | C++      |         25 |          4 |         11 |         40 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CServer.h           | C++      |         19 |          0 |          3 |         22 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CSession.h          | C++      |         48 |          6 |         11 |         65 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\CanvasServer.h      | C++      |          2 |          3 |          4 |          9 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\ConfigMgr.h         | C++      |         66 |          0 |         10 |         76 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\LogicSystem.h       | C++      |         31 |          7 |         10 |         48 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\MsgNode.h           | C++      |         51 |          6 |          6 |         63 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\RedisMgr.h          | C++      |         30 |          6 |         12 |         48 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Room.h              | C++      |         27 |          4 |          9 |         40 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\RoomMgr.h           | C++      |         20 |          5 |          6 |         31 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\SessionMgr.h        | C++      |         20 |          3 |          5 |         28 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\Singleton.h         | C++      |         29 |          9 |          5 |         43 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\const.h             | C++      |         46 |         18 |          8 |         72 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\message.grpc.pb.h   | C++      |        870 |         52 |         13 |        935 |
| e:\qt_project\SyncCanvas\CanvasServer2\include\CanvasServer\message.pb.h        | C++      |      3,825 |        324 |        362 |      4,511 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\AsioIOServicePool.cpp                | C++      |         42 |          8 |          7 |         57 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\CServer.cpp                          | C++      |         38 |          4 |          4 |         46 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\CSession.cpp                         | C++      |        174 |         39 |         33 |        246 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\CanvasServer.cpp                     | C++      |         59 |         18 |         17 |         94 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\ConfigMgr.cpp                        | C++      |         40 |          3 |          4 |         47 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\LogicSystem.cpp                      | C++      |        293 |         39 |         55 |        387 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\RedisMgr.cpp                         | C++      |        244 |         22 |         27 |        293 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\Room.cpp                             | C++      |         65 |         20 |         16 |        101 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\RoomMgr.cpp                          | C++      |         44 |          2 |         11 |         57 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\SessionMgr.cpp                       | C++      |         36 |          4 |         11 |         51 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\message.grpc.pb.cc                   | C++      |        224 |          3 |         47 |        274 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\message.pb.cc                        | C++      |      3,522 |        317 |        302 |      4,141 |
| e:\qt_project\SyncCanvas\CanvasServer\CMakeLists.txt                            | CMake    |        119 |          0 |         21 |        140 |
| e:\qt_project\SyncCanvas\CanvasServer\CMakePresets.json                         | JSON     |        103 |          0 |          1 |        104 |
| e:\qt_project\SyncCanvas\CanvasServer\config.ini                                | Ini      |         30 |          0 |          0 |         30 |
| e:\qt_project\SyncCanvas\CanvasServer\gen_message.bat                           | Batch    |         29 |          9 |          9 |         47 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\AsioIOServicePool.h  | C++      |         25 |          4 |         11 |         40 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CServer.h            | C++      |         19 |          0 |          3 |         22 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CSession.h           | C++      |         48 |          6 |         11 |         65 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CanvasServer.h       | C++      |          2 |          3 |          4 |          9 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\ConfigMgr.h          | C++      |         66 |          0 |         10 |         76 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\LogicSystem.h        | C++      |         31 |          7 |         10 |         48 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\MsgNode.h            | C++      |         51 |          6 |          6 |         63 |
